# r, Phi, Pi, A, delta
0 0 0.087492 1 0 
0.00015708 0.0793007 0.087492 1 -4.34834e-10 
0.000314159 -0.101542 -0.0820706 1 -1.05124e-09 
0.000471239 0.0414906 0.0354704 1 -1.21803e-09 
0.000628319 -0.0227105 -0.018428 1 -1.27727e-09 
0.000785398 -0.00364444 -0.00252096 1 -1.28614e-09 
0.000942478 -0.00894619 -0.0068936 1 -1.30792e-09 
0.00109956 -0.00926886 -0.0067135 1 -1.33546e-09 
0.00125664 -0.0104643 -0.00711378 1 -1.37285e-09 
0.00141372 -0.011622 -0.00736381 1 -1.42181e-09 
0.0015708 -0.0128149 -0.00756807 1 -1.48463e-09 
0.00172788 -0.0140254 -0.00773502 1 -1.56378e-09 
0.00188496 -0.0152476 -0.0078743 1 -1.66196e-09 
0.00204204 -0.0164779 -0.00799229 1 -1.78211e-09 
0.00219911 -0.0177139 -0.00809354 1 -1.9274e-09 
0.00235619 -0.0189541 -0.0081814 1 -2.10121e-09 
0.00251327 -0.0201974 -0.00825835 1 -2.3072e-09 
0.00267035 -0.021443 -0.00832631 1 -2.5492e-09 
0.00282743 -0.0226905 -0.00838678 1 -2.83133e-09 
0.00298451 -0.0239394 -0.00844092 1 -3.15791e-09 
0.00314159 -0.0251895 -0.00848968 1 -3.53349e-09 
0.00329867 -0.0264405 -0.00853383 1 -3.96288e-09 
0.00345575 -0.0276922 -0.00857398 1 -4.4511e-09 
0.00361283 -0.0289446 -0.00861066 1 -5.00342e-09 
0.00376991 -0.0301975 -0.0086443 1 -5.62532e-09 
0.00392699 -0.0314508 -0.00867526 1 -6.32253e-09 
0.00408407 -0.0327044 -0.00870384 1 -7.10102e-09 
0.00424115 -0.0339584 -0.00873032 1 -7.96698e-09 
0.00439823 -0.0352126 -0.00875491 1 -8.92683e-09 
0.00455531 -0.0364671 -0.0087778 1 -9.98724e-09 
0.00471239 -0.0377217 -0.00879918 1 -1.11551e-08 
0.00486947 -0.0389765 -0.00881918 1 -1.24376e-08 
0.00502655 -0.0402314 -0.00883792 1 -1.38419e-08 
0.00518363 -0.0414864 -0.00885554 1 -1.53759e-08 
0.00534071 -0.0427416 -0.00887211 1 -1.70471e-08 
0.00549779 -0.0439968 -0.00888774 1 -1.88639e-08 
0.00565487 -0.0452521 -0.0089025 1 -2.08343e-08 
0.00581195 -0.0465075 -0.00891646 1 -2.2967e-08 
0.00596903 -0.0477629 -0.00892968 1 -2.52707e-08 
0.00612611 -0.0490184 -0.00894222 1 -2.77543e-08 
0.00628319 -0.0502739 -0.00895414 1 -3.04273e-08 
0.00644026 -0.0515295 -0.00896546 1 -3.32989e-08 
0.00659734 -0.052785 -0.00897625 1 -3.63789e-08 
0.00675442 -0.0540406 -0.00898653 1 -3.96772e-08 
0.0069115 -0.0552963 -0.00899634 1 -4.32039e-08 
0.00706858 -0.0565519 -0.00900571 1 -4.69696e-08 
0.00722566 -0.0578076 -0.00901467 1 -5.09847e-08 
0.00738274 -0.0590632 -0.00902324 1 -5.52602e-08 
0.00753982 -0.0603189 -0.00903145 1 -5.98071e-08 
0.0076969 -0.0615745 -0.00903933 1 -6.46368e-08 
0.00785398 -0.0628302 -0.00904688 1 -6.97609e-08 
0.00801106 -0.0640858 -0.00905413 1 -7.5191e-08 
0.00816814 -0.0653415 -0.0090611 1 -8.09393e-08 
0.00832522 -0.0665971 -0.00906781 1 -8.7018e-08 
0.0084823 -0.0678528 -0.00907425 1 -9.34395e-08 
0.00863938 -0.0691084 -0.00908046 1 -1.00217e-07 
0.00879646 -0.070364 -0.00908645 1 -1.07362e-07 
0.00895354 -0.0716196 -0.00909222 1 -1.1489e-07 
0.00911062 -0.0728752 -0.00909778 1 -1.22813e-07 
0.0092677 -0.0741308 -0.00910315 1 -1.31144e-07 
0.00942478 -0.0753863 -0.00910834 1 -1.39898e-07 
0.00958186 -0.0766418 -0.00911336 1 -1.49089e-07 
0.00973894 -0.0778973 -0.0091182 1 -1.58732e-07 
0.00989602 -0.0791528 -0.00912289 1 -1.6884e-07 
0.0100531 -0.0804083 -0.00912743 1 -1.79428e-07 
0.0102102 -0.0816637 -0.00913182 1 -1.90512e-07 
0.0103673 -0.0829191 -0.00913607 1 -2.02107e-07 
0.0105243 -0.0841745 -0.00914019 1 -2.14229e-07 
0.0106814 -0.0854299 -0.00914419 1 -2.26893e-07 
0.0108385 -0.0866852 -0.00914806 1 -2.40115e-07 
0.0109956 -0.0879405 -0.00915182 1 -2.53911e-07 
0.0111527 -0.0891958 -0.00915547 1 -2.68298e-07 
0.0113097 -0.090451 -0.00915901 1 -2.83292e-07 
0.0114668 -0.0917063 -0.00916245 1 -2.98911e-07 
0.0116239 -0.0929615 -0.00916579 1 -3.15171e-07 
0.011781 -0.0942166 -0.00916903 1 -3.3209e-07 
0.0119381 -0.0954717 -0.00917219 1 -3.49686e-07 
0.0120951 -0.0967268 -0.00917526 1 -3.67976e-07 
0.0122522 -0.0979819 -0.00917824 1 -3.86978e-07 
0.0124093 -0.0992369 -0.00918115 1 -4.06711e-07 
0.0125664 -0.100492 -0.00918397 1 -4.27194e-07 
0.0127235 -0.101747 -0.00918672 1 -4.48444e-07 
0.0128805 -0.103002 -0.0091894 1 -4.70481e-07 
0.0130376 -0.104257 -0.00919201 1 -4.93324e-07 
0.0131947 -0.105511 -0.00919455 1 -5.16993e-07 
0.0133518 -0.106766 -0.00919703 1 -5.41507e-07 
0.0135088 -0.108021 -0.00919944 1 -5.66887e-07 
0.0136659 -0.109276 -0.00920179 1 -5.93152e-07 
0.013823 -0.11053 -0.00920409 1 -6.20322e-07 
0.0139801 -0.111785 -0.00920632 1 -6.48419e-07 
0.0141372 -0.11304 -0.00920851 1 -6.77463e-07 
0.0142942 -0.114294 -0.00921064 1 -7.07476e-07 
0.0144513 -0.115549 -0.00921271 1 -7.38478e-07 
0.0146084 -0.116803 -0.00921474 1 -7.70491e-07 
0.0147655 -0.118057 -0.00921672 1 -8.03536e-07 
0.0149226 -0.119312 -0.00921865 1 -8.37637e-07 
0.0150796 -0.120566 -0.00922054 1 -8.72815e-07 
0.0152367 -0.12182 -0.00922238 1 -9.09093e-07 
0.0153938 -0.123075 -0.00922418 1 -9.46492e-07 
0.0155509 -0.124329 -0.00922593 1 -9.85037e-07 
0.015708 -0.125583 -0.00922765 1 -1.02475e-06 
0.015865 -0.126837 -0.00922933 1 -1.06565e-06 
0.0160221 -0.128091 -0.00923097 1 -1.10777e-06 
0.0161792 -0.129345 -0.00923257 1 -1.15113e-06 
0.0163363 -0.130599 -0.00923414 1 -1.19576e-06 
0.0164934 -0.131853 -0.00923567 1 -1.24167e-06 
0.0166504 -0.133107 -0.00923716 1 -1.28889e-06 
0.0168075 -0.134361 -0.00923863 1 -1.33745e-06 
0.0169646 -0.135614 -0.00924006 1 -1.38737e-06 
0.0171217 -0.136868 -0.00924145 1 -1.43867e-06 
0.0172788 -0.138122 -0.00924282 1 -1.49139e-06 
0.0174358 -0.139375 -0.00924416 1 -1.54555e-06 
0.0175929 -0.140629 -0.00924547 1 -1.60117e-06 
0.01775 -0.141882 -0.00924675 1 -1.65829e-06 
0.0179071 -0.143136 -0.009248 1 -1.71691e-06 
0.0180642 -0.144389 -0.00924923 1 -1.77709e-06 
0.0182212 -0.145642 -0.00925043 1 -1.83883e-06 
0.0183783 -0.146895 -0.0092516 1 -1.90217e-06 
0.0185354 -0.148149 -0.00925275 1 -1.96713e-06 
0.0186925 -0.149402 -0.00925387 1 -2.03374e-06 
0.0188496 -0.150655 -0.00925497 1 -2.10204e-06 
0.0190066 -0.151908 -0.00925604 1 -2.17204e-06 
0.0191637 -0.153161 -0.0092571 1 -2.24378e-06 
0.0193208 -0.154414 -0.00925813 1 -2.31728e-06 
0.0194779 -0.155667 -0.00925913 1 -2.39257e-06 
0.019635 -0.156919 -0.00926012 1 -2.46969e-06 
0.019792 -0.158172 -0.00926109 1 -2.54866e-06 
0.0199491 -0.159425 -0.00926203 1 -2.6295e-06 
0.0201062 -0.160677 -0.00926295 1 -2.71226e-06 
0.0202633 -0.16193 -0.00926386 1 -2.79695e-06 
0.0204204 -0.163182 -0.00926474 1 -2.88362e-06 
0.0205774 -0.164435 -0.00926561 1 -2.97228e-06 
0.0207345 -0.165687 -0.00926646 1 -3.06298e-06 
0.0208916 -0.166939 -0.00926729 1 -3.15574e-06 
0.0210487 -0.168191 -0.0092681 1 -3.25058e-06 
0.0212058 -0.169444 -0.0092689 1 -3.34756e-06 
0.0213628 -0.170696 -0.00926967 1 -3.44668e-06 
0.0215199 -0.171948 -0.00927043 1 -3.54799e-06 
0.021677 -0.1732 -0.00927118 1 -3.65152e-06 
0.0218341 -0.174451 -0.00927191 1 -3.7573e-06 
0.0219911 -0.175703 -0.00927262 1 -3.86536e-06 
0.0221482 -0.176955 -0.00927332 1 -3.97574e-06 
0.0223053 -0.178207 -0.009274 1 -4.08846e-06 
0.0224624 -0.179458 -0.00927466 1 -4.20357e-06 
0.0226195 -0.18071 -0.00927532 1 -4.32109e-06 
0.0227765 -0.181961 -0.00927595 1 -4.44105e-06 
0.0229336 -0.183212 -0.00927658 1 -4.5635e-06 
0.0230907 -0.184464 -0.00927719 1 -4.68846e-06 
0.0232478 -0.185715 -0.00927778 1 -4.81597e-06 
0.0234049 -0.186966 -0.00927837 1 -4.94606e-06 
0.0235619 -0.188217 -0.00927894 1 -5.07877e-06 
0.023719 -0.189468 -0.00927949 1 -5.21413e-06 
0.0238761 -0.190719 -0.00928004 1 -5.35218e-06 
0.0240332 -0.19197 -0.00928057 1 -5.49296e-06 
0.0241903 -0.193221 -0.00928109 1 -5.63649e-06 
0.0243473 -0.194471 -0.00928159 1 -5.78281e-06 
0.0245044 -0.195722 -0.00928209 1 -5.93197e-06 
0.0246615 -0.196973 -0.00928257 1 -6.08399e-06 
0.0248186 -0.198223 -0.00928304 1 -6.23891e-06 
0.0249757 -0.199474 -0.00928351 1 -6.39678e-06 
